week,record,n_wins,n_loses,team,year,n_ties,rank,Previous_Rank,Rank_change
17,10-6,10,6,New York Giants,2010,0,12,12,0
16,9-6,9,6,New York Giants,2010,0,12,9,3
15,9-5,9,5,New York Giants,2010,0,9,7,2
14,9-4,9,4,New York Giants,2010,0,7,10,-3
13,8-4,8,4,New York Giants,2010,0,10,10,0
12,7-4,7,4,New York Giants,2010,0,10,10,0
11,6-4,6,4,New York Giants,2010,0,10,8,2
10,6-3,6,3,New York Giants,2010,0,8,4,4
9,6-2,6,2,New York Giants,2010,0,4,7,-3
8,5-2,5,2,New York Giants,2010,0,7,9,-2
7,5-2,5,2,New York Giants,2010,0,9,11,-2
6,4-2,4,2,New York Giants,2010,0,11,15,-4
5,3-2,3,2,New York Giants,2010,0,15,20,-5
4,2-2,2,2,New York Giants,2010,0,20,24,-4
3,1-2,1,2,New York Giants,2010,0,24,19,5
2,1-1,1,1,New York Giants,2010,0,19,16,3
1,1-0,1,0,New York Giants,2010,0,16,19,-3
0,8-8,8,8,New York Giants,2010,0,19,0,19
17,9-7,9,7,New York Giants,2012,0,14,15,-1
16,8-7,8,7,New York Giants,2012,0,15,12,3
15,8-6,8,6,New York Giants,2012,0,12,7,5
14,8-5,8,5,New York Giants,2012,0,7,10,-3
13,7-5,7,5,New York Giants,2012,0,10,8,2
12,7-4,7,4,New York Giants,2012,0,8,9,-1
11,6-4,6,4,New York Giants,2012,0,9,10,-1
10,6-4,6,4,New York Giants,2012,0,10,5,5
9,6-3,6,3,New York Giants,2012,0,5,2,3
8,6-2,6,2,New York Giants,2012,0,2,2,0
7,5-2,5,2,New York Giants,2012,0,2,3,-1
6,4-2,4,2,New York Giants,2012,0,3,7,-4
5,3-2,3,2,New York Giants,2012,0,7,10,-3
4,2-2,2,2,New York Giants,2012,0,10,6,4
3,2-1,2,1,New York Giants,2012,0,6,8,-2
2,1-1,1,1,New York Giants,2012,0,8,7,1
1,0-1,0,1,New York Giants,2012,0,7,3,4
0,9-7,9,7,New York Giants,2012,0,3,0,3
17,9-7,9,7,New York Giants,2011,0,9,12,-3
16,8-7,8,7,New York Giants,2011,0,12,16,-4
15,7-7,7,7,New York Giants,2011,0,16,12,4
14,7-6,7,6,New York Giants,2011,0,12,16,-4
13,6-6,6,6,New York Giants,2011,0,16,14,2
12,6-5,6,5,New York Giants,2011,0,14,12,2
11,6-4,6,4,New York Giants,2011,0,12,7,5
10,6-3,6,3,New York Giants,2011,0,7,6,1
9,6-2,6,2,New York Giants,2011,0,6,9,-3
8,5-2,5,2,New York Giants,2011,0,9,11,-2
7,4-2,4,2,New York Giants,2011,0,11,11,0
6,4-2,4,2,New York Giants,2011,0,11,14,-3
5,3-2,3,2,New York Giants,2011,0,14,10,4
4,3-1,3,1,New York Giants,2011,0,10,12,-2
3,2-1,2,1,New York Giants,2011,0,12,18,-6
2,1-1,1,1,New York Giants,2011,0,18,17,1
1,0-1,0,1,New York Giants,2011,0,17,15,2
0,10-6,10,6,New York Giants,2011,0,15,0,15
17,10-6,10,6,New York Giants,2007,0,9,10,-1
16,10-5,10,5,New York Giants,2007,0,10,12,-2
15,9-5,9,5,New York Giants,2007,0,12,9,3
14,9-4,9,4,New York Giants,2007,0,9,10,-1
13,8-4,8,4,New York Giants,2007,0,10,11,-1
12,7-4,7,4,New York Giants,2007,0,11,6,5
11,7-3,7,3,New York Giants,2007,0,6,7,-1
10,6-3,6,3,New York Giants,2007,0,7,6,1
9,6-2,6,2,New York Giants,2007,0,6,5,1
8,6-2,6,2,New York Giants,2007,0,5,4,1
7,5-2,5,2,New York Giants,2007,0,4,9,-5
6,4-2,4,2,New York Giants,2007,0,9,14,-5
5,3-2,3,2,New York Giants,2007,0,14,18,-4
4,2-2,2,2,New York Giants,2007,0,18,23,-5
3,1-2,1,2,New York Giants,2007,0,23,27,-4
2,0-2,0,2,New York Giants,2007,0,27,22,5
1,0-1,0,1,New York Giants,2007,0,22,18,4
0,8-8,8,8,New York Giants,2007,0,18,0,18
17,8-8,8,8,New York Giants,2006,0,16,20,-4
16,7-8,7,8,New York Giants,2006,0,20,17,3
15,7-7,7,7,New York Giants,2006,0,17,11,6
14,7-6,7,6,New York Giants,2006,0,11,15,-4
