week,record,n_wins,n_loses,team,year,n_ties,rank
17,10-6,10,6,New York Giants,2010,0,12
16,9-6,9,6,New York Giants,2010,0,12
15,9-5,9,5,New York Giants,2010,0,9
14,9-4,9,4,New York Giants,2010,0,7
13,8-4,8,4,New York Giants,2010,0,10
12,7-4,7,4,New York Giants,2010,0,10
11,6-4,6,4,New York Giants,2010,0,10
10,6-3,6,3,New York Giants,2010,0,8
9,6-2,6,2,New York Giants,2010,0,4
8,5-2,5,2,New York Giants,2010,0,7
7,5-2,5,2,New York Giants,2010,0,9
6,4-2,4,2,New York Giants,2010,0,11
5,3-2,3,2,New York Giants,2010,0,15
4,2-2,2,2,New York Giants,2010,0,20
3,1-2,1,2,New York Giants,2010,0,24
2,1-1,1,1,New York Giants,2010,0,19
1,1-0,1,0,New York Giants,2010,0,16
0,8-8,8,8,New York Giants,2010,0,19
Preseason,8-8,8,8,New York Giants,2010,0,16
17,9-7,9,7,New York Giants,2012,0,14
16,8-7,8,7,New York Giants,2012,0,15
15,8-6,8,6,New York Giants,2012,0,12
14,8-5,8,5,New York Giants,2012,0,7
13,7-5,7,5,New York Giants,2012,0,10
12,7-4,7,4,New York Giants,2012,0,8
11,6-4,6,4,New York Giants,2012,0,9
10,6-4,6,4,New York Giants,2012,0,10
9,6-3,6,3,New York Giants,2012,0,5
8,6-2,6,2,New York Giants,2012,0,2
7,5-2,5,2,New York Giants,2012,0,2
6,4-2,4,2,New York Giants,2012,0,3
5,3-2,3,2,New York Giants,2012,0,7
4,2-2,2,2,New York Giants,2012,0,10
3,2-1,2,1,New York Giants,2012,0,6
2,1-1,1,1,New York Giants,2012,0,8
1,0-1,0,1,New York Giants,2012,0,7
0,9-7,9,7,New York Giants,2012,0,3
Preseason,9-7,9,7,New York Giants,2012,0,1
17,9-7,9,7,New York Giants,2011,0,9
16,8-7,8,7,New York Giants,2011,0,12
15,7-7,7,7,New York Giants,2011,0,16
14,7-6,7,6,New York Giants,2011,0,12
13,6-6,6,6,New York Giants,2011,0,16
12,6-5,6,5,New York Giants,2011,0,14
11,6-4,6,4,New York Giants,2011,0,12
10,6-3,6,3,New York Giants,2011,0,7
9,6-2,6,2,New York Giants,2011,0,6
8,5-2,5,2,New York Giants,2011,0,9
7,4-2,4,2,New York Giants,2011,0,11
6,4-2,4,2,New York Giants,2011,0,11
5,3-2,3,2,New York Giants,2011,0,14
4,3-1,3,1,New York Giants,2011,0,10
3,2-1,2,1,New York Giants,2011,0,12
2,1-1,1,1,New York Giants,2011,0,18
1,0-1,0,1,New York Giants,2011,0,17
0,10-6,10,6,New York Giants,2011,0,15
Preseason,10-6,10,6,New York Giants,2011,0,11
17,10-6,10,6,New York Giants,2007,0,9
16,10-5,10,5,New York Giants,2007,0,10
15,9-5,9,5,New York Giants,2007,0,12
14,9-4,9,4,New York Giants,2007,0,9
13,8-4,8,4,New York Giants,2007,0,10
12,7-4,7,4,New York Giants,2007,0,11
11,7-3,7,3,New York Giants,2007,0,6
10,6-3,6,3,New York Giants,2007,0,7
9,6-2,6,2,New York Giants,2007,0,6
8,6-2,6,2,New York Giants,2007,0,5
7,5-2,5,2,New York Giants,2007,0,4
6,4-2,4,2,New York Giants,2007,0,9
5,3-2,3,2,New York Giants,2007,0,14
4,2-2,2,2,New York Giants,2007,0,18
3,1-2,1,2,New York Giants,2007,0,23
2,0-2,0,2,New York Giants,2007,0,27
1,0-1,0,1,New York Giants,2007,0,22
0,8-8,8,8,New York Giants,2007,0,18
Preseason,8-8,8,8,New York Giants,2007,0,17
17,8-8,8,8,New York Giants,2006,0,16
16,7-8,7,8,New York Giants,2006,0,20
15,7-7,7,7,New York Giants,2006,0,17
14,7-6,7,6,New York Giants,2006,0,11
13,6-6,6,6,New York Giants,2006,0,15
12,6-5,6,5,New York Giants,2006,0,15
11,6-4,6,4,New York Giants,2006,0,14
10,6-3,6,3,New York Giants,2006,0,8
9,6-2,6,2,New York Giants,2006,0,6
8,5-2,5,2,New York Giants,2006,0,4
7,4-2,4,2,New York Giants,2006,0,6
6,3-2,3,2,New York Giants,2006,0,11
5,2-2,2,2,New York Giants,2006,0,16
4,1-2,1,2,New York Giants,2006,0,18
3,1-2,1,2,New York Giants,2006,0,16
2,1-1,1,1,New York Giants,2006,0,11
1,0-1,0,1,New York Giants,2006,0,14
0,11-5,11,5,New York Giants,2006,0,10
Preseason,11-5,11,5,New York Giants,2006,0,11
17,7-9,7,9,New York Giants,2013,0,23
16,6-9,6,9,New York Giants,2013,0,24
15,5-9,5,9,New York Giants,2013,0,26
14,5-8,5,8,New York Giants,2013,0,23
13,5-7,5,7,New York Giants,2013,0,22
12,4-7,4,7,New York Giants,2013,0,23
11,4-6,4,6,New York Giants,2013,0,22
10,3-6,3,6,New York Giants,2013,0,25
9,2-6,2,6,New York Giants,2013,0,29
8,2-6,2,6,New York Giants,2013,0,29
7,1-6,1,6,New York Giants,2013,0,29
6,0-6,0,6,New York Giants,2013,0,31
5,0-5,0,5,New York Giants,2013,0,31
4,0-4,0,4,New York Giants,2013,0,30
3,0-3,0,3,New York Giants,2013,0,29
2,0-2,0,2,New York Giants,2013,0,20
1,0-1,0,1,New York Giants,2013,0,16
0,9-7,9,7,New York Giants,2013,0,12
Preseason,9-7,9,7,New York Giants,2013,0,12
17,8-8,8,8,New York Giants,2009,0,20
16,8-7,8,7,New York Giants,2009,0,18
15,8-6,8,6,New York Giants,2009,0,12
14,7-6,7,6,New York Giants,2009,0,14
13,7-5,7,5,New York Giants,2009,0,12
12,6-5,6,5,New York Giants,2009,0,15
11,6-4,6,4,New York Giants,2009,0,11
10,5-4,5,4,New York Giants,2009,0,16
9,5-4,5,4,New York Giants,2009,0,15
8,5-3,5,3,New York Giants,2009,0,15
7,5-2,5,2,New York Giants,2009,0,8
6,5-1,5,1,New York Giants,2009,0,5
5,5-0,5,0,New York Giants,2009,0,2
4,4-0,4,0,New York Giants,2009,0,2
3,3-0,3,0,New York Giants,2009,0,3
17,12-4,12,4,New York Giants,2008,0,2
16,12-3,12,3,New York Giants,2008,0,2
15,11-3,11,3,New York Giants,2008,0,4
14,11-2,11,2,New York Giants,2008,0,2
13,11-1,11,1,New York Giants,2008,0,1
12,10-1,10,1,New York Giants,2008,0,1
11,9-1,9,1,New York Giants,2008,0,2
10,8-1,8,1,New York Giants,2008,0,2
9,7-1,7,1,New York Giants,2008,0,2
8,6-1,6,1,New York Giants,2008,0,2
7,5-1,5,1,New York Giants,2008,0,2
6,4-1,4,1,New York Giants,2008,0,2
5,4-0,4,0,New York Giants,2008,0,1
4,3-0,3,0,New York Giants,2008,0,1
3,3-0,3,0,New York Giants,2008,0,2
2,2-0,2,0,New York Giants,2008,0,3
1,1-0,1,0,New York Giants,2008,0,5
0,10-6,10,6,New York Giants,2008,0,8
Preseason,10-6,10,6,New York Giants,2008,0,6
2,2-0,2,0,New York Giants,2009,0,2
1,1-0,1,0,New York Giants,2009,0,3
0,12-4,12,4,New York Giants,2009,0,3
Preseason,12-4,12,4,New York Giants,2009,0,3
17,6-10,6,10,New York Giants,2014,0,24
16,6-9,6,9,New York Giants,2014,0,22
15,5-9,5,9,New York Giants,2014,0,25
14,4-9,4,9,New York Giants,2014,0,26
13,3-9,3,9,New York Giants,2014,0,26
12,3-8,3,8,New York Giants,2014,0,26
11,3-7,3,7,New York Giants,2014,0,26
10,3-6,3,6,New York Giants,2014,0,24
9,3-5,3,5,New York Giants,2014,0,24
8,3-4,3,4,New York Giants,2014,0,22
7,3-4,3,4,New York Giants,2014,0,21
6,3-3,3,3,New York Giants,2014,0,20
5,3-2,3,2,New York Giants,2014,0,13
4,2-2,2,2,New York Giants,2014,0,19
3,1-2,1,2,New York Giants,2014,0,26
2,0-2,0,2,New York Giants,2014,0,30
1,0-1,0,1,New York Giants,2014,0,26
0,7-9,7,9,New York Giants,2014,0,20
Preseason,7-9,7,9,New York Giants,2014,0,19
17,10-6,10,6,New York Jets,2006,0,8
16,9-6,9,6,New York Jets,2006,0,10
15,8-6,8,6,New York Jets,2006,0,11
14,7-6,7,6,New York Jets,2006,0,16
13,7-5,7,5,New York Jets,2006,0,11
12,6-5,6,5,New York Jets,2006,0,14
11,5-5,5,5,New York Jets,2006,0,17
10,5-4,5,4,New York Jets,2006,0,14
9,4-4,4,4,New York Jets,2006,0,19
8,4-4,4,4,New York Jets,2006,0,19
7,4-3,4,3,New York Jets,2006,0,20
6,3-3,3,3,New York Jets,2006,0,19
5,2-3,2,3,New York Jets,2006,0,21
4,2-2,2,2,New York Jets,2006,0,19
3,2-1,2,1,New York Jets,2006,0,19
2,1-1,1,1,New York Jets,2006,0,22
1,1-0,1,0,New York Jets,2006,0,23
0,4-12,4,12,New York Jets,2006,0,31
Preseason,4-12,4,12,New York Jets,2006,0,31
17,9-7,9,7,New York Jets,2008,0,17
16,9-6,9,6,New York Jets,2008,0,14
15,9-5,9,5,New York Jets,2008,0,14
14,8-5,8,5,New York Jets,2008,0,13
13,8-4,8,4,New York Jets,2008,0,7
12,8-3,8,3,New York Jets,2008,0,3
11,7-3,7,3,New York Jets,2008,0,6
10,6-3,6,3,New York Jets,2008,0,9
9,5-3,5,3,New York Jets,2008,0,11
8,4-3,4,3,New York Jets,2008,0,19
7,3-3,3,3,New York Jets,2008,0,19
6,3-2,3,2,New York Jets,2008,0,16
5,2-2,2,2,New York Jets,2008,0,18
4,2-2,2,2,New York Jets,2008,0,19
3,1-2,1,2,New York Jets,2008,0,21
2,1-1,1,1,New York Jets,2008,0,16
1,1-0,1,0,New York Jets,2008,0,14
0,4-12,4,12,New York Jets,2008,0,16
Preseason,4-12,4,12,New York Jets,2008,0,23
17,4-12,4,12,New York Jets,2007,0,30
16,3-12,3,12,New York Jets,2007,0,30
15,3-11,3,11,New York Jets,2007,0,30
14,3-10,3,10,New York Jets,2007,0,29
13,3-9,3,9,New York Jets,2007,0,29
12,2-9,2,9,New York Jets,2007,0,31
11,2-8,2,8,New York Jets,2007,0,29
10,1-8,1,8,New York Jets,2007,0,31
9,1-8,1,8,New York Jets,2007,0,30
8,1-7,1,7,New York Jets,2007,0,30
7,1-6,1,6,New York Jets,2007,0,30
6,1-5,1,5,New York Jets,2007,0,30
5,1-4,1,4,New York Jets,2007,0,28
4,1-3,1,3,New York Jets,2007,0,26
3,1-2,1,2,New York Jets,2007,0,21
2,0-2,0,2,New York Jets,2007,0,24
1,0-1,0,1,New York Jets,2007,0,18
0,10-6,10,6,New York Jets,2007,0,14
Preseason,10-6,10,6,New York Jets,2007,0,12
17,9-7,9,7,New York Jets,2009,0,12
16,8-7,8,7,New York Jets,2009,0,14
15,7-7,7,7,New York Jets,2009,0,19
14,7-6,7,6,New York Jets,2009,0,16
13,6-6,6,6,New York Jets,2009,0,19
12,5-6,5,6,New York Jets,2009,0,21
11,4-6,4,6,New York Jets,2009,0,22
10,4-5,4,5,New York Jets,2009,0,21
9,4-4,4,4,New York Jets,2009,0,18
8,4-4,4,4,New York Jets,2009,0,18
7,4-3,4,3,New York Jets,2009,0,15
6,3-3,3,3,New York Jets,2009,0,18
5,3-2,3,2,New York Jets,2009,0,9
4,3-1,3,1,New York Jets,2009,0,5
3,3-0,3,0,New York Jets,2009,0,6
2,2-0,2,0,New York Jets,2009,0,8
1,1-0,1,0,New York Jets,2009,0,16
0,9-7,9,7,New York Jets,2009,0,23
Preseason,9-7,9,7,New York Jets,2009,0,23
17,11-5,11,5,New York Jets,2010,0,8
16,10-5,10,5,New York Jets,2010,0,8
15,10-4,10,4,New York Jets,2010,0,5
14,9-4,9,4,New York Jets,2010,0,9
13,9-3,9,3,New York Jets,2010,0,6
12,9-2,9,2,New York Jets,2010,0,3
11,8-2,8,2,New York Jets,2010,0,4
10,7-2,7,2,New York Jets,2010,0,3
9,6-2,6,2,New York Jets,2010,0,5
8,5-2,5,2,New York Jets,2010,0,4
7,5-1,5,1,New York Jets,2010,0,2
6,5-1,5,1,New York Jets,2010,0,2
5,4-1,4,1,New York Jets,2010,0,3
4,3-1,3,1,New York Jets,2010,0,4
3,2-1,2,1,New York Jets,2010,0,7
2,1-1,1,1,New York Jets,2010,0,6
1,0-1,0,1,New York Jets,2010,0,11
0,9-7,9,7,New York Jets,2010,0,9
Preseason,9-7,9,7,New York Jets,2010,0,7
17,6-10,6,10,New York Giants,2015,0,23
16,6-9,6,9,New York Giants,2015,0,21
15,6-8,6,8,New York Giants,2015,0,15
14,6-7,6,7,New York Giants,2015,0,17
13,5-7,5,7,New York Giants,2015,0,20
12,5-6,5,6,New York Giants,2015,0,18
11,5-5,5,5,New York Giants,2015,0,15
10,5-5,5,5,New York Giants,2015,0,10
9,5-4,5,4,New York Giants,2015,0,15
8,4-4,4,4,New York Giants,2015,0,14
7,4-3,4,3,New York Giants,2015,0,14
6,3-3,3,3,New York Giants,2015,0,14
5,3-2,3,2,New York Giants,2015,0,12
4,2-2,2,2,New York Giants,2015,0,15
3,1-2,1,2,New York Giants,2015,0,16
2,0-2,0,2,New York Giants,2015,0,26
1,0-1,0,1,New York Giants,2015,0,24
0,6-10,6,10,New York Giants,2015,0,21
Preseason,6-10,6,10,New York Giants,2015,0,23
17,8-8,8,8,New York Jets,2011,0,19
16,8-7,8,7,New York Jets,2011,0,16
15,8-6,8,6,New York Jets,2011,0,12
14,8-5,8,5,New York Jets,2011,0,10
13,7-5,7,5,New York Jets,2011,0,11
12,6-5,6,5,New York Jets,2011,0,15
11,5-5,5,5,New York Jets,2011,0,15
10,5-4,5,4,New York Jets,2011,0,14
9,5-3,5,3,New York Jets,2011,0,11
8,4-3,4,3,New York Jets,2011,0,13
7,4-3,4,3,New York Jets,2011,0,13
6,3-3,3,3,New York Jets,2011,0,16
5,2-3,2,3,New York Jets,2011,0,17
4,2-2,2,2,New York Jets,2011,0,14
3,2-1,2,1,New York Jets,2011,0,7
2,2-0,2,0,New York Jets,2011,0,3
1,1-0,1,0,New York Jets,2011,0,5
0,11-5,11,5,New York Jets,2011,0,7
Preseason,11-5,11,5,New York Jets,2011,0,7
17,6-10,6,10,New York Jets,2012,0,25
16,6-9,6,9,New York Jets,2012,0,23
15,6-8,6,8,New York Jets,2012,0,21
14,6-7,6,7,New York Jets,2012,0,19
13,5-7,5,7,New York Jets,2012,0,22
12,4-7,4,7,New York Jets,2012,0,23
11,4-6,4,6,New York Jets,2012,0,22
10,3-6,3,6,New York Jets,2012,0,26
9,3-5,3,5,New York Jets,2012,0,25
8,3-5,3,5,New York Jets,2012,0,25
7,3-4,3,4,New York Jets,2012,0,24
6,3-3,3,3,New York Jets,2012,0,23
5,2-3,2,3,New York Jets,2012,0,25
4,2-2,2,2,New York Jets,2012,0,23
3,2-1,2,1,New York Jets,2012,0,17
2,1-1,1,1,New York Jets,2012,0,18
1,1-0,1,0,New York Jets,2012,0,17
0,8-8,8,8,New York Jets,2012,0,21
Preseason,8-8,8,8,New York Jets,2012,0,20
17,8-8,8,8,New York Jets,2013,0,19
16,7-8,7,8,New York Jets,2013,0,22
15,6-8,6,8,New York Jets,2013,0,22
14,6-7,6,7,New York Jets,2013,0,21
13,5-7,5,7,New York Jets,2013,0,23
12,5-6,5,6,New York Jets,2013,0,22
11,5-5,5,5,New York Jets,2013,0,16
10,5-4,5,4,New York Jets,2013,0,12
9,5-4,5,4,New York Jets,2013,0,14
8,4-4,4,4,New York Jets,2013,0,16
7,4-3,4,3,New York Jets,2013,0,15
6,3-3,3,3,New York Jets,2013,0,20
5,3-2,3,2,New York Jets,2013,0,18
4,2-2,2,2,New York Jets,2013,0,22
3,2-1,2,1,New York Jets,2013,0,18
2,1-1,1,1,New York Jets,2013,0,28
1,1-0,1,0,New York Jets,2013,0,27
0,6-10,6,10,New York Jets,2013,0,32
Preseason,6-10,6,10,New York Jets,2013,0,32
17,10-6,10,6,New York Jets,2015,0,12
16,10-5,10,5,New York Jets,2015,0,5
15,9-5,9,5,New York Jets,2015,0,10
14,8-5,8,5,New York Jets,2015,0,10
13,7-5,7,5,New York Jets,2015,0,10
12,6-5,6,5,New York Jets,2015,0,12
11,5-5,5,5,New York Jets,2015,0,16
10,5-4,5,4,New York Jets,2015,0,13
9,5-3,5,3,New York Jets,2015,0,11
8,4-3,4,3,New York Jets,2015,0,12
7,4-2,4,2,New York Jets,2015,0,8
6,4-1,4,1,New York Jets,2015,0,8
5,3-1,3,1,New York Jets,2015,0,11
4,3-1,3,1,New York Jets,2015,0,9
3,2-1,2,1,New York Jets,2015,0,15
2,2-0,2,0,New York Jets,2015,0,9
1,1-0,1,0,New York Jets,2015,0,21
0,4-12,4,12,New York Jets,2015,0,26
Preseason,4-12,4,12,New York Jets,2015,0,25
17,4-12,4,12,New York Jets,2014,0,27
16,3-12,3,12,New York Jets,2014,0,29
15,3-11,3,11,New York Jets,2014,0,27
14,2-11,2,11,New York Jets,2014,0,28
13,2-10,2,10,New York Jets,2014,0,29
12,2-9,2,9,New York Jets,2014,0,30
11,2-8,2,8,New York Jets,2014,0,28
10,2-8,2,8,New York Jets,2014,0,28
9,1-8,1,8,New York Jets,2014,0,30
8,1-7,1,7,New York Jets,2014,0,30
7,1-6,1,6,New York Jets,2014,0,29
6,1-5,1,5,New York Jets,2014,0,29
5,1-4,1,4,New York Jets,2014,0,30
4,1-3,1,3,New York Jets,2014,0,26
3,1-2,1,2,New York Jets,2014,0,21
